Pais,Penetracion,Acceso,Poblacion,c100k
Argentina,"0,0000002212596248","82,9",45195774,"0,02212596248"
Bolivia,"0,000000005140057574","44,2",11673021,"0,0005140057574"
Brasil,"0,000000004704566912",79,212559417,"0,0004704566912"
Chile,"0,000000005231164916",82,19116201,"0,0005231164916"
Colombia,"0,0000002161826851","64,6",50882891,"0,02161826851"
Costa Rica,"0,00000009815241814","86,3",5094118,"0,009815241814"
Ecuador,"0,00000002833976476","59,2",17643054,"0,002833976476"
Guatemala,"0,000000005581737626","40,7",17915568,"0,0005581737626"
Mexico,"0,000000003877990568","70,1",128932753,"0,0003877990568"
Panamá,"0,0000000002317622249","63,6",4314767,"0,00002317622249"
Paraguay,"0,0000000007010127391","53,7",7132538,"0,00007010127391"
Perú,"0,00000003025688855","64,8",33050325,"0,003025688855"
Uruguay,"0,0000001773309958",87,3473730,"0,01773309958"
